order_id,order_date,store_id,city,region,channel,customer_age_group,loyalty_tier,category,subcategory,unit_price,quantity,discount_rate,competitor_price,stock_level,promo_flag,holiday_flag,weather_temp_c
ORD20240426-S04-09063,2024-04-26,S04,Munich,West,In-Store,18-25,None,Electronics,Phones,252.63,5,0.015,286.79,88,0,0,5.5
ORD20241019-S04-07451,2024-10-19,S04,Hamburg,South,In-Store,36-45,None,Beauty,Skincare,27.26,2,0.017,28.67,194,0,0,14.0
ORD20241220-S04-08370,2024-12-20,S04,Munich,East,In-Store,26-35,Silver,Grocery,Pantry,14.35,5,0.037,13.25,152,0,0,5.4
ORD20240801-S05-01857,2024-08-01,S05,Munich,North,In-Store,26-35,None,Home,Kitchen,211.38,1,0.002,223.77,227,0,0,22.6
ORD20240601-S01-00247,2024-06-01,S01,Berlin,South,In-Store,36-45,Bronze,Home,Appliances,501.88,4,0.034,570.88,216,0,0,20.9
ORD20240410-S02-02105,2024-04-10,S02,Cologne,South,In-Store,26-35,None,Home,Kitchen,289.72,3,0.011,283.9,169,0,0,8.5
ORD20240503-S05-03433,2024-05-03,S05,Berlin,East,In-Store,60+,None,Clothing,Kids,99.85,5,0.211,108.8,183,1,0,10.4
ORD20240907-S02-04036,2024-09-07,S02,Frankfurt,West,In-Store,26-35,Gold,Home,Furniture,600.0,5,0.006,624.36,82,0,0,20.9
ORD20240906-S01-07200,2024-09-06,S01,Berlin,North,In-Store,26-35,None,Electronics,Laptops,501.07,3,0.043,558.72,108,0,0,17.4
ORD20241113-S04-05988,2024-11-13,S04,Berlin,South,In-Store,36-45,None,Electronics,Phones,710.1,4,0.04,710.92,114,0,0,5.6
ORD20240728-S04-00921,2024-07-28,S04,Cologne,East,In-Store,18-25,Silver,Home,Appliances,527.92,3,0.236,527.97,109,1,0,24.8
ORD20240618-S06-07482,2024-06-18,S06,Hamburg,North,In-Store,46-60,None,Clothing,Accessories,48.34,2,0.105,52.63,208,1,0,21.3
ORD20240731-S02-03750,2024-07-31,S02,Frankfurt,South,In-Store,26-35,Bronze,Beauty,Skincare,80.37,2,0.077,81.27,182,1,0,18.3
ORD20241205-S06-10231,2024-12-05,S06,Cologne,East,In-Store,46-60,None,Clothing,Accessories,93.9,2,0.264,94.66,160,1,0,-1.8
ORD20240724-S06-11279,2024-07-24,S06,Frankfurt,North,In-Store,26-35,None,Beauty,Fragrance,53.96,3,0.038,50.77,98,0,0,21.0
ORD20240505-S05-08270,2024-05-05,S05,Hamburg,South,Online,26-35,None,Home,Appliances,432.7,5,0.012,427.09,157,0,0,14.2
ORD20240818-S05-00191,2024-08-18,S05,Munich,West,Online,26-35,None,Home,Furniture,329.1,5,0.003,342.98,125,0,0,20.4
ORD20241117-S06-11139,2024-11-17,S06,Frankfurt,East,Online,36-45,None,Clothing,Kids,78.01,3,0.318,72.86,163,1,0,7.1
ORD20241025-S04-05705,2024-10-25,S04,Frankfurt,West,Online,18-25,Silver,Electronics,Audio,543.31,4,0.033,560.27,65,0,0,13.9
ORD20240412-S05-08389,2024-11-26,S01,Hamburg,South,In-Store,26-35,None,Grocery,Beverages,4.52,3,0.018,4.57,148,0,0,8.9
ORD20240527-S07-04160,2024-05-27,S07,Hamburg,South,In-Store,18-25,Silver,Grocery,Beverages,8.94,1,0.016,8.22,139,0,0,15.2
ORD20240413-S01-10619,2024-04-13,S01,Cologne,North,In-Store,36-45,None,Home,Appliances,316.4,5,0.033,330.75,111,0,0,7.2
ORD20241127-S05-08810,2024-11-27,S05,Hamburg,South,Online,60+,Silver,Electronics,Phones,905.76,2,0.006,967.73,139,0,0,10.4
ORD20240202-S02-00694,2024-02-02,S02,Berlin,North,Online,46-60,Silver,Clothing,Women,150.0,1,0.031,171.23,83,0,0,2.2
ORD20240607-S08-05746,2024-06-07,S08,Frankfurt,West,In-Store,60+,Silver,Electronics,Accessories,290.6,2,0.049,304.07,101,0,0,21.5
ORD20240407-S04-01428,2024-04-07,S04,Munich,North,In-Store,18-25,Silver,Electronics,Audio,394.74,2,0.032,392.4,166,0,0,10.3
ORD20240522-S03-06195,2024-05-22,S03,Cologne,East,In-Store,26-35,Bronze,Home,Decor,324.83,5,0.03,326.92,89,0,0,17.7
ORD20240610-S10-03488,2024-06-10,S10,Berlin,West,In-Store,26-35,None,Home,Appliances,376.66,4,0.001,428.21,198,0,0,23.4
ORD20240222-S01-10932,2024-02-22,S01,Munich,North,In-Store,60+,None,Beauty,Makeup,53.56,5,0.014,52.88,150,0,0,2.2
ORD20241009-S08-00863,2024-10-09,S08,Frankfurt,South,Online,18-25,None,Clothing,Accessories,114.56,4,0.039,131.43,90,0,0,15.0
ORD20240116-S10-02338,2024-01-16,S10,Berlin,West,In-Store,26-35,Gold,Clothing,Kids,54.94,4,0.045,58.45,157,0,0,0.8
ORD20240620-S07-05768,2024-06-20,S07,Hamburg,West,In-Store,26-35,None,Electronics,Accessories,678.35,5,0.045,672.45,166,0,0,21.9
ORD20240626-S05-08120,2024-06-26,S05,Munich,East,In-Store,26-35,None,Grocery,Beverages,12.93,2,0.021,14.25,216,0,0,21.7
ORD20240201-S10-00752,2024-02-01,S10,Berlin,South,In-Store,26-35,None,Home,Kitchen,522.97,2,0.048,573.15,94,0,0,5.9
ORD20240804-S07-10746,2024-08-04,S07,Cologne,North,Online,26-35,None,Home,Appliances,232.91,4,0.043,223.5,141,0,0,22.6
ORD20240929-S08-03361,2024-09-29,S08,Berlin,South,Online,18-25,None,Beauty,Skincare,43.52,3,0.017,39.92,148,0,0,16.9
ORD20241010-S01-09368,2024-10-10,S01,Munich,East,In-Store,18-25,Bronze,Beauty,Skincare,69.46,1,0.045,72.03,42,0,0,17.8
ORD20240129-S08-11748,2024-01-29,S08,Munich,North,Online,26-35,Gold,Grocery,Fresh,6.41,1,0.014,6.6,136,0,0,5.3
ORD20240901-S03-03158,2024-09-01,S03,Frankfurt,North,Online,26-35,None,Beauty,Haircare,54.11,1,0.006,55.39,87,0,0,17.4
ORD20240618-S07-00175,2024-06-18,S07,Frankfurt,North,In-Store,18-25,Gold,Unknown/—,Kitchen,560.55,20,0.335,118.59,124,1,0,25.8
ORD20240716-S08-02820,2024-07-16,S08,Berlin,West,In-Store,60+,Bronze,Beauty,Fragrance,25.38,1,0.049,27.35,201,0,0,23.1
ORD20240315-S06-02115,2024-03-15,S06,Berlin,West,Online,46-60,None,Electronics,Audio,745.65,4,0.016,785.7,137,0,0,8.6
ORD20240112-S01-11012,2024-01-12,S01,Berlin,East,In-Store,46-60,Gold,Home,Furniture,306.65,3,0.004,329.13,133,0,0,-0.8
ORD20241128-S06-01389,2024-11-28,S06,Hamburg,North,In-Store,36-45,None,Clothing,Kids,140.99,2,0.034,154.76,135,0,0,7.6
ORD20240824-S04-03576,2024-08-24,S04,Berlin,North,In-Store,18-25,None,Grocery,Fresh,25.7,2,0.005,23.13,112,0,0,22.9
ORD20240229-S04-04142,2024-02-29,S04,Hamburg,North,Online,36-45,None,Electronics,Phones,951.38,5,0.038,975.29,185,0,0,-0.6
ORD20240207-S04-08399,2024-02-07,S04,Berlin,South,In-Store,26-35,None,Beauty,Haircare,77.18,3,0.039,70.79,154,0,0,-0.6
ORD20240224-S06-07246,2024-02-24,S06,Frankfurt,South,In-Store,46-60,Bronze,Beauty,Makeup,120.0,2,0.045,137.99,97,0,0,-3.1
ORD20240113-S10-05502,2024-01-13,S10,Munich,South,Online,46-60,None,Clothing,Men,150.0,3,0.037,162.45,197,0,0,-3.7
ORD20240524-S06-01477,2024-05-24,S06,Munich,East,In-Store,18-25,None,Grocery,Pantry,16.02,1,0.019,17.36,192,0,0,17.2
ORD20240517-S09-11287,2024-05-17,S09,Frankfurt,East,In-Store,36-45,Bronze,Grocery,Snacks,8.3,3,0.012,8.29,172,0,0,19.0
ORD20240808-S09-06057,2024-08-08,S09,Cologne,North,In-Store,26-35,None,Electronics,Audio,1200.0,2,0.012,1123.96,119,0,0,18.9
ORD20241118-S05-01140,2024-11-18,S05,Frankfurt,West,Online,26-35,None,Home,Kitchen,244.6,3,0.007,240.15,146,0,0,9.8
ORD20240607-S04-09912,2024-06-07,S04,Cologne,North,In-Store,36-45,Silver,Electronics,Phones,1200.0,4,0.027,1091.41,129,0,0,22.9
ORD20241217-S02-03210,2024-12-17,S02,Berlin,North,In-Store,26-35,None,Electronics,Accessories,604.59,1,0.032,627.81,192,0,0,1.1
ORD20240906-S02-08684,2024-09-06,S02,Munich,West,Online,18-25,None,Grocery,Fresh,11.62,2,0.043,12.88,178,0,0,17.8
ORD20240929-S10-05926,2024-09-29,S10,Berlin,East,In-Store,26-35,None,Clothing,Kids,69.76,3,0.014,78.5,164,0,0,14.2
ORD20240507-S03-04175,2024-05-07,S03,Frankfurt,East,In-Store,26-35,None,Electronics,Phones,1180.37,4,0.015,1258.19,98,0,0,19.1
ORD20240614-S06-02644,2024-06-14,S06,Frankfurt,West,Online,18-25,Bronze,Clothing,Men,104.92,3,0.0,108.07,121,0,0,19.7
ORD20241021-S03-08872,2024-10-21,S03,Hamburg,West,Online,36-45,None,Home,Kitchen,142.86,4,0.02,130.52,205,0,0,5.4
ORD20240427-S06-04475,2024-04-27,S06,Munich,East,In-Store,26-35,None,Clothing,Kids,45.57,5,0.005,49.53,89,0,0,5.0
ORD20240207-S03-04106,2024-02-07,S03,Hamburg,South,In-Store,18-25,None,Grocery,Beverages,22.14,1,0.017,21.26,136,0,0,4.4
ORD20240923-S09-07366,2024-09-23,S09,Cologne,West,In-Store,26-35,None,Beauty,Skincare,80.72,1,0.014,81.84,166,0,0,15.7
ORD20240705-S09-05514,2024-07-05,S09,Hamburg,South,In-Store,18-25,None,Clothing,Accessories,56.1,4,0.023,51.2,156,0,0,18.1
ORD20240116-S04-11709,2024-01-16,S04,Hamburg,North,Online,46-60,Bronze,Home,Decor,411.78,4,0.049,441.76,95,0,0,2.9
ORD20240420-S07-02020,2024-04-20,S07,Cologne,South,In-Store,26-35,None,Clothing,Accessories,53.82,3,0.012,61.76,121,0,0,9.4
ORD20241221-S02-11102,2024-12-21,S02,Berlin,South,Online,36-45,None,Electronics,Laptops,615.13,2,0.037,605.92,139,0,0,6.6
ORD20240925-S03-00885,2024-09-25,S03,Hamburg,South,In-Store,26-35,Bronze,Beauty,Haircare,40.81,4,0.026,42.25,130,0,0,16.4
ORD20240710-S03-00577,2024-07-10,S03,Cologne,East,In-Store,36-45,None,Home,Appliances,388.23,2,0.028,416.02,146,0,0,21.6
ORD20241209-S09-06372,2024-12-09,S09,Berlin,East,In-Store,60+,None,Clothing,Women,28.96,4,0.021,28.02,176,0,0,5.8
ORD20240619-S01-01074,2024-06-19,S01,Hamburg,South,Online,18-25,Gold,Beauty,Skincare,107.87,1,0.04,109.17,133,0,0,24.7
ORD20240524-S09-10964,2024-05-24,S09,Cologne,East,In-Store,18-25,None,Home,Appliances,579.17,4,0.009,526.54,119,0,0,14.7
ORD20240515-S06-00021,2024-05-15,S06,Frankfurt,East,In-Store,18-25,None,Grocery,Snacks,7.03,3,0.039,8.01,194,0,0,14.7
ORD20240819-S01-10582,2024-08-19,S01,Cologne,South,Online,26-35,None,Home,Decor,552.88,4,0.015,504.31,169,0,0,18.9
ORD20240621-S09-06499,2024-06-21,S09,Berlin,West,In-Store,36-45,None,Beauty,Skincare,82.58,3,0.033,86.22,156,0,0,24.0
ORD20241006-S04-10589,2024-10-06,S04,Hamburg,South,Online,26-35,Bronze,Clothing,Men,101.26,1,0.034,107.94,103,0,0,11.3
ORD20240422-S09-04038,2024-04-22,S09,Cologne,South,In-Store,26-35,None,Clothing,Women,58.54,2,0.028,53.55,152,0,0,11.3
ORD20240906-S08-09817,2024-09-06,S08,Berlin,East,In-Store,26-35,None,Beauty,Haircare,55.4,4,0.212,51.12,105,1,0,18.4
ORD20240402-S10-04006,2024-04-02,S10,Frankfurt,South,In-Store,18-25,None,Clothing,Accessories,45.0,1,0.037,42.48,134,0,0,11.2
ORD20240926-S09-04444,2024-09-26,S09,Berlin,North,In-Store,60+,Gold,Home,Furniture,268.64,1,0.047,276.44,144,0,0,16.9
ORD20240208-S02-02474,2024-02-08,S02,Berlin,East,Online,60+,None,Clothing,Women,69.34,3,0.11,79.61,120,1,0,0.1
