order_id,order_date,store_id,city,region,channel,customer_age_group,loyalty_tier,category,subcategory,unit_price,quantity,discount_rate,competitor_price,stock_level,promo_flag,holiday_flag,weather_temp_c,line_price,line_discount,line_revenue
ORD20240101-S01-02441,2024-01-01,S01,Hamburg,East,In-Store,26-35,nan,Home,Decor,188.9,2.0,0.022,178.82,151,0,1,-5.3,377.8,8.31,369.49
ORD20240101-S10-09283,2024-01-01,S10,Berlin,West,In-Store,26-35,Bronze,Beauty,Haircare,65.04,3.0,0.042,73.25,151,0,1,-1.8,195.12,8.2,186.92
ORD20240101-S10-05461,2024-01-01,S10,Berlin,South,Online,46-60,Silver,Home,Decor,517.97,5.0,0.043,473.6,135,0,1,-9.1,2589.8500000000004,111.36,2478.49
ORD20240101-S10-05082,2024-01-01,S10,Berlin,North,In-Store,46-60,nan,Clothing,Women,42.02,1.0,0.205,43.6,142,1,1,-2.9,42.02,8.61,33.41
ORD20240101-S09-10886,2024-01-01,S09,Frankfurt,North,In-Store,36-45,nan,Grocery,Snacks,25.48,1.0,0.003,27.64,189,0,1,-3.2,25.48,0.08,25.4
ORD20240101-S09-06740,2024-01-01,S09,Hamburg,North,In-Store,26-35,Silver,Home,Kitchen,600.0,2.0,0.016,542.51,128,0,1,2.0,1200.0,19.2,1180.8
ORD20240101-S09-01481,2024-01-01,S09,Hamburg,West,Online,46-60,Silver,Clothing,Accessories,150.0,4.0,0.015,145.34,172,0,1,2.4,600.0,9.0,591.0
ORD20240101-S08-11079,2024-01-01,S08,Berlin,East,Online,26-35,nan,Beauty,Fragrance,84.83,2.0,0.002,89.47,109,0,1,0.9,169.66,0.34,169.32
ORD20240101-S08-02315,2024-01-01,S08,Hamburg,North,In-Store,26-35,Bronze,Beauty,Haircare,44.45,1.0,0.029,50.69,132,0,1,-1.6,44.45,1.29,43.16
ORD20240101-S07-06983,2024-01-01,S07,Munich,West,In-Store,26-35,nan,Beauty,Skincare,85.66,4.0,0.002,77.69,178,0,1,-1.5,342.64,0.69,341.95
ORD20240101-S07-02258,2024-01-01,S07,Frankfurt,West,In-Store,18-25,nan,Clothing,Accessories,150.0,1.0,0.02,146.64,186,0,1,-1.0,150.0,3.0,147.0
ORD20240101-S07-01487,2024-01-01,S07,Hamburg,South,In-Store,18-25,nan,Electronics,Audio,758.04,2.0,0.022,748.22,197,0,1,-1.8,1516.08,33.35,1482.73
ORD20240101-S06-06301,2024-01-01,S06,Berlin,North,In-Store,36-45,nan,Home,Kitchen,433.2,3.0,0.0,458.59,149,0,1,2.4,1299.6,0.0,1299.6
ORD20240101-S09-07753,2024-01-01,S09,Frankfurt,East,In-Store,60+,Bronze,Beauty,Fragrance,47.6,2.0,0.029,47.84,189,0,1,1.9,95.2,2.76,92.44
ORD20240101-S05-07005,2024-01-01,S05,Hamburg,South,Online,26-35,nan,Grocery,Pantry,10.24,2.0,0.019,9.39,82,0,1,-1.1,20.48,0.39,20.09
ORD20240101-S06-05759,2024-01-01,S06,Berlin,South,In-Store,46-60,nan,Clothing,Accessories,750.0,3.0,0.018,149.14,126,0,1,0.7,2250.0,40.5,2209.5
ORD20240101-S01-08282,2024-01-01,S01,Berlin,West,In-Store,46-60,Bronze,Home,Furniture,265.8,3.0,0.028,280.56,144,0,1,-4.4,797.4000000000001,22.33,775.07
ORD20240101-S01-09105,2024-01-01,S01,Munich,East,Online,36-45,Silver,Beauty,Fragrance,70.99,5.0,0.042,73.8,182,0,1,-2.5,354.95,14.91,340.04
ORD20240101-S02-08837,2024-01-01,S02,Frankfurt,South,Online,60+,nan,Electronics,Laptops,1200.0,5.0,0.05,1238.02,73,0,1,0.3,6000.0,300.0,5700.0
ORD20240101-S03-10963,2024-01-01,S03,Frankfurt,East,In-Store,18-25,Silver,Grocery,Fresh,12.39,5.0,0.046,11.24,124,0,1,2.1,61.95,2.85,59.1
ORD20240101-S02-07362,2024-01-01,S02,Frankfurt,North,In-Store,26-35,Bronze,Home,Kitchen,366.17,4.0,0.034,355.0,135,0,1,4.0,1464.68,49.8,1414.88
ORD20240101-S04-01995,2024-01-01,S04,Frankfurt,North,Online,46-60,Gold,Home,Furniture,238.84,3.0,0.0,243.09,185,0,1,-3.0,716.52,0.0,716.52
ORD20240101-S04-06905,2024-01-01,S04,Frankfurt,South,In-Store,26-35,Silver,Beauty,Fragrance,91.26,3.0,0.026,85.54,192,0,1,1.8,273.78000000000003,7.12,266.66
ORD20240101-S05-01948,2024-01-01,S05,Hamburg,East,Online,36-45,nan,Home,Appliances,536.87,4.0,0.032,597.64,195,0,1,-0.5,2147.48,68.72,2078.76
ORD20240101-S05-03673,2024-01-01,S05,Cologne,North,In-Store,46-60,nan,Home,Appliances,234.89,3.0,0.045,246.83,149,0,1,-8.1,704.67,31.71,672.96
ORD20240101-S05-04690,2024-01-01,S05,Hamburg,North,In-Store,36-45,Gold,Home,Appliances,231.25,5.0,0.045,237.49,179,0,1,4.3,1156.25,52.03,1104.22
ORD20240101-S04-01408,2024-01-01,S04,Hamburg,North,Online,26-35,Bronze,Home,Furniture,600.0,1.0,0.007,570.37,119,0,1,1.0,600.0,4.2,595.8
ORD20240102-S06-01549,2024-01-02,S06,Berlin,West,Online,26-35,nan,Clothing,Women,138.66,3.0,0.019,154.61,127,0,0,3.9,415.98,7.9,408.08
ORD20240102-S08-01912,2024-01-02,S08,Frankfurt,East,Online,60+,nan,Home,Kitchen,227.07,3.0,0.007,210.75,173,0,0,-1.0,681.21,4.77,676.44
ORD20240102-S06-08629,2024-01-02,S06,Cologne,South,In-Store,18-25,nan,Grocery,Fresh,20.17,5.0,0.021,23.17,145,0,0,3.9,100.85000000000001,2.12,98.73
ORD20240102-S07-06075,2024-01-02,S07,Cologne,East,In-Store,36-45,nan,Clothing,Men,150.0,5.0,0.043,160.93,135,0,0,-3.2,750.0,32.25,717.75
ORD20240102-S07-06228,2024-01-02,S07,Berlin,East,In-Store,46-60,nan,Electronics,Audio,566.45,1.0,0.047,536.55,122,0,0,1.1,566.45,26.62,539.83
ORD20240102-S07-10355,2024-01-02,S07,Munich,East,In-Store,36-45,Silver,Grocery,Beverages,7.63,3.0,0.026,7.72,212,0,0,2.9,22.89,0.6,22.29
ORD20240102-S07-11492,2024-01-02,S07,Munich,North,In-Store,46-60,nan,Beauty,Makeup,100.59,4.0,0.014,92.44,100,0,0,-2.2,402.36,5.63,396.73
ORD20240102-S08-06056,2024-01-02,S08,Berlin,East,In-Store,36-45,nan,Beauty,Skincare,79.93,4.0,0.033,83.03,170,0,0,1.9,319.72,10.55,309.17
ORD20240102-S10-04597,2024-01-02,S10,Berlin,East,In-Store,18-25,Silver,Unknown,Phones,3697.95,3.0,0.043,768.48,173,0,0,6.0,11093.849999999999,477.04,10616.81
ORD20240102-S09-00900,2024-01-02,S09,Berlin,North,In-Store,36-45,nan,Electronics,Laptops,740.05,2.0,0.035,769.65,135,0,0,-0.1,1480.1,51.8,1428.3
ORD20240102-S09-01293,2024-01-02,S09,Berlin,North,Online,60+,Bronze,Electronics,Phones,624.94,4.0,0.006,704.46,93,0,0,2.3,2499.76,15.0,2484.76
ORD20240102-S09-07204,2024-01-02,S09,Frankfurt,North,In-Store,18-25,nan,Home,Appliances,590.74,1.0,0.006,661.36,132,0,0,-4.0,590.74,3.54,587.2
ORD20240102-S09-09545,2024-01-02,S09,Hamburg,East,In-Store,26-35,Silver,Clothing,Accessories,137.24,4.0,0.007,148.39,193,0,0,1.4,548.96,3.84,545.12
ORD20240102-S10-01738,2024-01-02,S10,Hamburg,West,In-Store,36-45,Silver,Grocery,Pantry,27.88,5.0,0.192,28.4,59,1,0,1.9,139.4,26.76,112.64
ORD20240102-S10-05169,2024-01-02,S10,Frankfurt,West,Online,26-35,Silver,Beauty,Fragrance,65.55,40.0,0.006,123.69,116,0,0,-0.7,2622.0,15.73,2606.27
ORD20240102-S10-06357,2024-01-02,S10,Hamburg,East,In-Store,26-35,nan,Grocery,Beverages,30.0,4.0,0.032,27.28,141,0,0,1.1,120.0,3.84,116.16
ORD20240102-S05-01621,2024-01-02,S05,Hamburg,East,In-Store,26-35,nan,Electronics,Audio,466.99,5.0,0.001,452.53,132,0,0,2.2,2334.95,2.33,2332.62
ORD20240102-S09-00380,2024-01-02,S09,Hamburg,North,In-Store,26-35,nan,Electronics,Laptops,401.98,3.0,0.033,399.32,159,0,0,2.2,1205.94,39.8,1166.14
ORD20240102-S05-01236,2024-01-02,S05,Hamburg,East,Online,18-25,Silver,Beauty,Haircare,40.94,2.0,0.036,45.78,169,0,0,0.9,81.88,2.95,78.93
ORD20240102-S03-04626,2024-01-02,S03,Hamburg,West,Online,26-35,Bronze,Electronics,Phones,307.86,4.0,0.016,334.91,131,0,0,0.5,1231.44,19.7,1211.74
ORD20240102-S04-07734,2024-01-02,S04,Cologne,East,In-Store,46-60,nan,Home,Decor,600.0,5.0,0.034,637.1,159,0,0,3.3,3000.0,102.0,2898.0
ORD20240102-S01-02788,2024-01-02,S01,Munich,West,In-Store,36-45,nan,Beauty,Skincare,51.83,2.0,0.001,53.93,177,0,0,-6.0,103.66,0.1,103.56
ORD20240102-S05-00845,2024-01-02,S05,Munich,East,In-Store,36-45,nan,Grocery,Pantry,7.45,5.0,0.004,7.38,135,0,0,-2.5,37.25,0.15,37.1
ORD20240102-S01-06520,2024-01-02,S01,Frankfurt,East,Online,26-35,nan,Clothing,Women,78.35,2.0,0.049,80.94,96,0,0,0.6,156.7,7.68,149.02
ORD20240102-S01-09380,2024-01-02,S01,Hamburg,North,Online,26-35,Silver,Grocery,Beverages,15.71,3.0,0.016,32.47,107,0,0,0.9,47.13,0.75,46.38
ORD20240102-S01-10365,2024-01-02,S01,Hamburg,North,Online,36-45,Bronze,Grocery,Snacks,30.0,1.0,0.042,27.41,107,0,0,0.8,30.0,1.26,28.74
ORD20240102-S02-00772,2024-01-02,S02,Munich,East,In-Store,60+,Silver,Clothing,Women,41.86,3.0,0.003,48.07,114,0,0,7.3,125.58,0.38,125.2
ORD20240102-S02-04110,2024-01-02,S02,Hamburg,West,In-Store,26-35,Bronze,Electronics,Phones,504.39,4.0,0.005,496.89,128,0,0,5.9,2017.56,10.09,2007.47
ORD20240102-S02-05296,2024-01-02,S02,Cologne,East,Online,46-60,Bronze,Clothing,Women,70.5,4.0,0.017,65.96,111,0,0,0.9,282.0,4.79,277.21
ORD20240102-S02-07211,2024-01-02,S02,Hamburg,West,Online,36-45,Bronze,Beauty,Haircare,48.0,4.0,0.035,45.01,145,0,0,1.4,192.0,6.72,185.28
ORD20240102-S01-06413,2024-01-02,S01,Munich,East,In-Store,18-25,Bronze,Grocery,Beverages,21.09,1.0,0.03,21.21,159,0,0,-6.1,21.09,0.63,20.46
ORD20240102-S02-11150,2024-01-02,S02,Berlin,North,In-Store,26-35,nan,Beauty,Skincare,51.61,5.0,0.032,57.65,135,0,0,-3.9,258.05,8.26,249.79
ORD20240102-S03-03190,2024-01-02,S03,Frankfurt,East,In-Store,18-25,Silver,Beauty,Fragrance,93.77,5.0,0.0,98.36,136,0,0,-4.5,468.84999999999997,0.0,468.85
ORD20240102-S03-03216,2024-01-02,S03,Hamburg,West,Online,60+,nan,Home,Appliances,573.09,3.0,0.047,574.55,147,0,0,-3.7,1719.27,80.81,1638.46
ORD20240102-S03-03233,2024-01-02,S03,Hamburg,North,In-Store,18-25,nan,Home,Kitchen,233.43,2.0,0.007,219.28,134,0,0,4.4,466.86,3.27,463.59
ORD20240102-S03-10455,2024-01-02,S03,Cologne,South,In-Store,26-35,Bronze,Grocery,Beverages,16.16,4.0,0.04,16.86,141,0,0,3.2,64.64,2.59,62.05
ORD20240102-S04-02627,2024-01-02,S04,Munich,West,Online,36-45,nan,Grocery,Snacks,12.56,5.0,0.01,13.61,125,0,0,-1.1,62.800000000000004,0.63,62.17
ORD20240102-S04-07066,2024-01-02,S04,Frankfurt,North,In-Store,18-25,Silver,Home,Appliances,423.6,5.0,0.049,481.64,204,0,0,-0.1,2118.0,103.78,2014.22
ORD20240102-S02-10311,2024-01-02,S02,Hamburg,South,In-Store,26-35,nan,Electronics,Audio,1200.0,1.0,0.048,1246.76,229,0,0,0.1,1200.0,57.6,1142.4
ORD20240103-S06-07988,2024-01-03,S06,Berlin,West,Online,46-60,nan,Home,Decor,458.99,4.0,0.025,514.88,198,0,0,-2.9,1835.96,45.9,1790.06
ORD20240103-S06-08561,2024-01-03,S06,Hamburg,North,Online,26-35,Gold,Grocery,Snacks,13.72,2.0,0.027,15.48,99,0,0,-3.8,27.44,0.74,26.7
